subject	fissure	mask	space	distances
sub-21	1	cerebellar_mask	DeCon	1.977414439482167
sub-22	1	cerebellar_mask	DeCon	1.7738353346948446
sub-23	1	cerebellar_mask	DeCon	1.886083528338214
sub-24	1	cerebellar_mask	DeCon	1.8662901887957997
sub-25	1	cerebellar_mask	DeCon	1.9021774622543148
sub-26	1	cerebellar_mask	DeCon	3.9772560705986155
sub-27	1	cerebellar_mask	DeCon	3.9455429764612555
sub-28	1	cerebellar_mask	DeCon	2.0074899241082895
sub-29	1	cerebellar_mask	DeCon	1.8489769403852427
sub-30	1	cerebellar_mask	DeCon	3.906634476490716
sub-31	1	cerebellar_mask	DeCon	1.8712782237005592
sub-32	1	cerebellar_mask	DeCon	2.0973005446460102
sub-33	1	cerebellar_mask	DeCon	1.8948991557265953
sub-34	1	cerebellar_mask	DeCon	2.4865023119241068
sub-35	1	cerebellar_mask	DeCon	2.0597667679260687
sub-36	1	cerebellar_mask	DeCon	2.168346506604279
sub-37	1	cerebellar_mask	DeCon	2.0814973031729487
sub-38	1	cerebellar_mask	DeCon	2.110500450489738
sub-39	1	cerebellar_mask	DeCon	2.8255217103593777
sub-40	1	cerebellar_mask	DeCon	2.0134330979167
sub-41	1	cerebellar_mask	DeCon	2.7312519563245226
sub-42	1	cerebellar_mask	DeCon	5.070895185240337
sub-43	1	cerebellar_mask	DeCon	1.6515333329855173
sub-44	1	cerebellar_mask	DeCon	2.1619765025605355
sub-45	1	cerebellar_mask	DeCon	2.7563042742692874
sub-46	1	cerebellar_mask	DeCon	1.8127462493958502
sub-47	1	cerebellar_mask	DeCon	2.003022084399763
sub-48	1	cerebellar_mask	DeCon	1.8536395932014311
sub-49	1	cerebellar_mask	DeCon	2.3201850549616996
sub-50	1	cerebellar_mask	DeCon	4.801395099340702
sub-51	1	cerebellar_mask	DeCon	2.0268416153464774
sub-52	1	cerebellar_mask	DeCon	2.0868272518890683
sub-53	1	cerebellar_mask	DeCon	3.143900970228936
